0;1;2;3;4
Ambusher Agents;14.23;Level 6 Slow Roll;s;['Ekko', 'Smeech', 'Camille', 'Jinx', 'Garen', 'Loris', 'Scar', 'Powder']
Emissaries;14.23;Default;s;['Ambessa', 'Corki', 'Garen', 'Gangplank', 'Vi', 'Nami', 'Swain', 'Twisted Fate', 'Tristana']
Blue Rebellion;14.23;Fast 8;s;['Jinx', 'Rumble', 'Illaoi', 'Zoe', 'Ekko', 'Ezreal', 'Nami', 'Akali', 'Sett']
Arcane Academy;14.23;Fast 8;s;['Jayce', 'Heimerdinger', 'Illaoi', 'Corki', 'Leona', 'Rumble', 'Ezreal', 'Rell', 'Irelia']
Black Rose Rush;14.23;Fast 9;s;['Garen', 'Heimerdinger', 'LeBlanc', 'Malzahar', 'Elise', 'Nunu & Willump', 'Cassiopeia', 'Vladimir', 'Morgana']
Black Rose Dom's;14.23;Fast 8;s;['Mordekaiser', 'Garen', 'Silco', 'LeBlanc', 'Dr. Mundo', 'Elise', 'Cassiopeia', 'Vladimir', 'Morgana']
Kog'Scar;14.23;Level 7 Slow Roll;s;"[""Kog'Maw"", 'Scar', 'Zeri', 'Garen', 'Vander', 'Vladimir', 'Amumu', 'Darius']"
Fight Club;14.23;Level 5 Slow Roll;s;['Violet', 'Vi', 'Vander', 'Draven', 'Powder', 'Sevika', 'Gangplank', 'Urgot', 'Darius']
Visionaries;14.23;Fast 8;s;['Elise', 'Heimerdinger', 'LeBlanc', 'Malzahar', 'Jayce', 'Nunu & Willump', 'Rell', 'Renata Glasc', 'Morgana']
Arcane Comet;14.23;Level 7 Slow Roll;s;['Garen', 'Nami', 'Swain', 'LeBlanc', 'Ambessa', 'Elise', 'Tristana', 'Vladimir']
Command & Conquerors;14.23;Level 5 Slow Roll;s;['Darius', 'Draven', 'Mordekaiser', 'Vander', 'Ambessa', 'Swain', 'Powder', 'Violet']
Family & Friends;14.23;Level 5 Slow Roll;s;['Powder', 'Jinx', 'Ekko', 'Vi', 'Vander', 'Scar', 'Smeech', 'Camille', 'Violet']
Madame Web;14.23;Default;s;['Dr. Mundo', 'Elise', 'LeBlanc', 'Jayce', 'Cassiopeia', 'Nunu & Willump', 'Renni', 'Vladimir', 'Morgana']
Experiment 626;14.23;Fast 8;a;['Dr. Mundo', 'Twitch', 'Caitlyn', 'Elise', 'Mordekaiser', 'Nunu & Willump', 'Renni', 'Sett', 'Steb']
Quick-Rolls;14.23;Level 6 Slow Roll;a;['Akali', 'Nocturne', 'Ambessa', 'Garen', 'Twisted Fate', 'Nami', 'Tristana', 'Amumu']
Twisted Enforcers;14.23;Level 7 Slow Roll;a;['Loris', 'Twisted Fate', 'Caitlyn', 'Ambessa', 'Vi', 'Camille', 'Maddie', 'Steb']
Rosy Rolls;14.23;Level 7 Slow Roll;a;['Blitzcrank', 'Cassiopeia', 'LeBlanc', 'Mordekaiser', 'Silco', 'Dr. Mundo', 'Vladimir', 'Ziggs', 'Morgana']
Scrap Gods;14.23;Fast 8;a;['Rumble', 'Corki', 'Ekko', 'Jinx', 'Gangplank', 'Powder', 'Trundle', 'Illaoi', 'Tristana']
Team Rocket;14.23;Level 6 Slow Roll;a;['Tristana', 'Rumble', 'Ambessa', 'Corki', 'Garen', 'Rell', 'Ezreal', 'Nami', 'Urgot']
Hextech-Crystals;14.23;Default;a;"['Malzahar', 'Twitch', 'Blitzcrank', ""Kog'Maw"", 'Dr. Mundo', 'Nunu & Willump', 'Nocturne', 'Amumu']"
Mad Bruisers;14.23;Level 5 Slow Roll;a;['Maddie', 'Steb', 'Trundle', 'Caitlyn', 'Elise', 'Nunu & Willump', 'Renni', 'Sett']
Why Not Both?;14.23;Level 7 Slow Roll;a;['Gangplank', 'Swain', 'Elise', 'Jayce', 'Jayce', 'Elise', 'Gangplank', 'Swain']
Reunion;14.23;Default;a;['Ekko', 'Vi', 'Jinx', 'Garen', 'Gangplank', 'Scar', 'Camille', 'Zeri']
Sisters;14.23;Fast 8;a;['Jinx', 'Vi', 'Illaoi', 'Rumble', 'Ekko', 'Gangplank', 'Camille', 'Irelia', 'Powder']
Sentinel Sisters;14.23;Level 5 Slow Roll;a;['Irelia', 'Lux', 'Zyra', 'Illaoi', 'Ezreal', 'Leona', 'Tristana', 'Singed']
Geniuses;14.23;Default;a;['Ekko', 'Garen', 'Heimerdinger', 'Nunu & Willump', 'Scar', 'Rell', 'Renata Glasc', 'Powder']
Unlikely Duo;14.23;Fast 8;a;['Sevika', 'Illaoi', 'Jinx', 'Vi', 'Gangplank', 'Camille', 'Urgot', 'Irelia']
Combat Medic;14.23;Level 5 Slow Roll;a;['Steb', 'Trundle', 'Maddie', 'Elise', 'Loris', 'Nunu & Willump', 'Renni', 'Camille', 'Sett']
Martial Law;14.23;Fast 8;a;['Caitlyn', 'Ambessa', 'Illaoi', 'Elise', 'Vi', 'Loris', 'Twisted Fate', 'Maddie']
Brutal Revenge;14.23;Level 7 Slow Roll;a;['Renni', 'Elise', 'Silco', 'Sevika', 'Nunu & Willump', 'Sett', 'Steb', 'Trundle']
Troll King;14.23;Level 5 Slow Roll;a;['Trundle', 'Malzahar', 'Gangplank', 'Steb', 'Elise', 'Nunu & Willump', 'Renni', 'Sett']
Boats N' Crows;14.23;Level 7 Slow Roll;b;['Gangplank', 'Swain', 'Vi', 'Jayce', 'Elise', 'Sevika', 'Urgot', 'Draven', 'Violet']
La Familia;14.23;Level 5 Slow Roll;b;['Vander', 'Darius', 'Draven', 'Powder', 'Violet', 'Ekko', 'Tristana']
Blood Brothers;14.23;Level 6 Slow Roll;b;['Silco', 'Vander', 'Garen', 'Dr. Mundo', 'Nami', 'Scar', 'Vladimir', 'Amumu', 'Darius']
Crimson Pact;14.23;Level 6 Slow Roll;b;['Vladimir', 'Garen', 'Scar', 'LeBlanc', 'Elise', 'Swain', 'Vander', 'Amumu', 'Darius']
