0;1;2;3;4;5
Data-Science;NumPy Essential Training: 1 Foundations of NumPy;2021-11-29;19849;Learn about NumPy, the most useful Python library for data science and numerical computing.;['Scientific Computing', 'Machine Learning', 'NumPy']
Data-Science;Objects in JavaScript: A Dynamic Data Structure;2023-12-14;1376;Learn about the objects unique to JavaScript, how they’re created, and how they’re used.;['Data Structures', 'JavaScript']
Data-Science;MongoDB Aggregation Pipeline: Advanced Data Analysis and Manipulation;2023-01-05;2140;Take a deep dive into the MongoDB aggregation pipeline to get much more out of your MongoDB data.;['Data Manipulation', 'Database Development', 'MongoDB']
Data-Science;Building an Ethereum Blockchain App: 5 Your Ethereum Wallet;2021-08-11;8690;Learn the steps to create an Ethereum wallet and find out how to use several popular types of wallets.;['Ethereum', 'Blockchain', 'Cryptocurrency']
Data-Science;Marketing Strategy: Competitive Intelligence;2022-09-27;44942;Learn how to conduct a competitive analysis to gain insight into your competitors, as well as to identify your own competitive edge in the marketplace.;['Marketing Strategy', 'Competitive Intelligence']
Data-Science;Excel 2016: Data Validation in Depth;2016-09-19;57540;Learn how to use the data validation tools in Excel 2016 to control how users input data into workbooks and ensure data is entered consistently and accurately.;['Data Validation', 'Microsoft Excel']
Data-Science;Intermediate SQL: Data Reporting and Analysis;2022-11-14;19588;Take your data skills to the next level with SQL by learning how to write code for more complex queries to report, edit, insert, and delete data from your database.;['Data Reporting', 'SQL', 'Data Analysis']
Data-Science;Practical Privacy for Products and Services;2021-07-26;15085;Learn about data you need to protect, how to protect it, and how protecting the data impacts your organization and its products and services.;['Data Privacy']
Data-Science;Learning Data Science: Understanding the Basics;2016-11-16;258627;Get an introduction to data science designed for people who aren't planning on being full-time data scientists. Learn the basics of gathering and analyzing big data.;['Tech Career Skills', 'Data Science']
Data-Science;Nano Tips for Navigating Advanced Data Analysis, Vision, and Voice in ChatGPT with Lachezar Arabadzhiev;2024-01-29;1505;Get quick, bite-sized tips on using AI for advanced data analysis. Each video is less than two minutes long, so you can make learning fit into even your busiest days.;['Artificial Intelligence for Business', 'ChatGPT', 'Data Analysis']
Data-Science;Attracting Cybersecurity Talent: Hiring and Retaining Talent;2022-04-29;6284;Rethink the way you build cybersecurity teams to start winning the war against cybercrime.;['Tech Career Skills', 'Cybersecurity']
Data-Science;Blockchain: Beyond the Basics;2022-03-11;41839;Learn more about Blockchain, how it works, why it’s so important, and how it’s redefining the way we store and update transactions on a network.;['Blockchain']
Data-Science;Power BI: Integrating AI and Machine Learning;2021-08-26;100032;Find out how you can give end users the capability to explore AI and machine learning in Power BI.;['Microsoft Power BI', 'Machine Learning']
Data-Science;Building an Ethereum Blockchain App: 4 Ethereum Development Tools;2021-08-10;9549;Learn about your Ethereum development toolbox and other tools you can download and use.;['Ethereum', 'Blockchain']
Data-Science;Python Statistics Essential Training;2023-08-17;12450;Learn to use Python to unlock the power of data and use it to inform decisions.;['Statistics', 'Python (Programming Language)']
Data-Science;Tech Recruiting Foundations: 5 Waterfall, Agile, and DevOps for Recruiters;2021-06-25;22412;Learn enough about tech to be able to recruit and hire effectively for different roles in IT.;['Technical Recruiting', 'Agile & Waterfall Methodologies', 'DevOps', 'Agile Methodologies']
Data-Science;Tech Recruiting Foundations: 2 Understanding Hardware and Operating Systems;2021-06-22;21018;Learn enough about hardware and operating systems to be able to recruit and hire effectively for related roles in IT.;['Technical Recruiting', 'Computer Hardware']
Data-Science;Data Storytelling Mistakes to Avoid;2024-07-03;1680;Learn effective ways to capture and educate a business audience with data storytelling.;['Data Storytelling']
Data-Science;GDPR Compliance: Essential Training;2021-10-22;101818;Learn about the General Data Protection Regulation (GDPR), a privacy-related regulation in the EU. Discover if you are impacted and how your organization can comply.;['General Data Protection Regulation (GDPR)', 'Legal Compliance']
Data-Science;Azure Data Factory;2023-01-19;24372;Take your data science skills to the next level with Azure Data Factory, the fully managed, serverless data integration service designed by Microsoft.;['Azure Data Factory', 'Data Integration']
Data-Science;Complete Guide to Tableau for Data Scientists;2024-09-27;0;Take your Tableau skills to the next level. Learn how to format and filter messy data, use Tableau for data analysis, and visualize data with maps and dashboards.;['Data Visualization', 'Data Science', 'Data Analytics', 'Tableau']
Data-Science;Safeguarding Customer Credit Card Data: PCI Compliance;2024-06-25;1514;Get a high-level introduction to how payments get from consumers to merchants, the risks associated with theft or compromise of credit card data, and PCI compliance standards.;['Payment Card Industry Data Security Standard (PCI DSS)', 'Data Security']
Data-Science;Skills That Set Data Scientists Apart;2021-12-07;14148;Hear insights from a data consulting CEO about what he looks for when hiring data professionals.;['Data Science']
Data-Science;Statistics Foundations 4: Advanced Topics;2022-08-11;38236;Complete your mastery of statistics with this advanced concepts course on <i>t</i>-distribution, degrees of freedom, regression testing, and ANOVA.;['Statistics']
Data-Science;Learning GDPR;2018-02-23;197126;Join Kalinda Raina—head of global privacy at LinkedIn—to learn about the General Data Protection Regulation (GDPR): what it is, why it matters, and how it impacts your company.;['General Data Protection Regulation (GDPR)']
Data-Science;Accelerate Your Developer Career;2021-09-09;8358;Learn how honing skills such as emotional intelligence and cross-functional collaboration can help you increase your value as a software developer.;['Tech Career Skills', 'Career Management']
Data-Science;Data Science Tools of the Trade: First Steps;2018-08-30;34508;Jump-start your data science career by learning how to install and work with several essential data science tools, including Proxmox, Hadoop, Spark, and Weka.;['Big Data']
Data-Science;Marketing Analytics: Decoding the Conversion Funnel for Revenue Growth;2024-09-18;2711;Learn how to perform funnel analysis by findings and fixing leaks in the funnel to improve conversions and fuel revenue.;['Funnel Optimization', 'Marketing Analytics']
Data-Science;Learning Power Automate Desktop for Non-Developers;2023-02-09;11280;Start saving time by learning to automate manual and repetitive computer tasks using Power Automate Desktop.;['Microsoft Power Automate']
Data-Science;Power BI Mistakes to Avoid;2022-02-18;18239;Discover how to avoid key mistakes in Microsoft Power BI so you can save time and grow your skills.;['Microsoft Power BI']
Data-Science;Microsoft Azure Synapse for Developers;2021-09-10;14083;Learn how to get up and running with Azure Synapse to analyze your data and store it in the cloud.;['Data Warehousing', 'Cloud Development', 'Microsoft Azure']
Data-Science;Business Analytics Foundations: Predictive, Prescriptive, and Experimental Analytics;2018-03-13;64839;Learn about the stages in business analytics used to predict future events and improve decision-making: predictive analytics, prescriptive analytics, and experimental analytics.;['Business Analytics']
Data-Science;Practice Exam 2 for Power BI Data Analyst Associate (PL-300);2024-05-06;0;Prepare for certification exams with LinkedIn practice exams. Access multiple practice modes with unlimited attempts, detailed results, and explanations for each answer.;['Microsoft Power BI', 'Data Analysis']
