"","Skills"
"1","Scientific Computing"
"2","Machine Learning"
"3","NumPy"
"4","Data Structures"
"5","JavaScript"
"6","Data Manipulation"
"7","Database Development"
"8","MongoDB"
"9","Ethereum"
"10","Blockchain"
"11","Cryptocurrency"
"12","Marketing Strategy"
"13","Competitive Intelligence"
"14","Data Validation"
"15","Microsoft Excel"
"16","Data Reporting"
"17","SQL"
"18","Data Analysis"
"19","Data Privacy"
"20","Tech Career Skills"
"21","Data Science"
"22","Artificial Intelligence for Business"
"23","ChatGPT"
"24","Cybersecurity"
"25","Microsoft Power BI"
"26","Statistics"
"27","Python (Programming Language)"
"28","Technical Recruiting"
"29","Agile & Waterfall Methodologies"
"30","DevOps"
"31","Agile Methodologies"
"32","Computer Hardware"
"33","Data Storytelling"
"34","General Data Protection Regulation (GDPR)"
"35","Legal Compliance"
"36","Azure Data Factory"
"37","Data Integration"
"38","Data Visualization"
"39","Data Analytics"
"40","Tableau"
"41","Payment Card Industry Data Security Standard (PCI DSS)"
"42","Data Security"
"43","Career Management"
"44","Big Data"
"45","Funnel Optimization"
"46","Marketing Analytics"
"47","Microsoft Power Automate"
"48","Data Warehousing"
"49","Cloud Development"
"50","Microsoft Azure"
"51","Business Analytics"
"52","Looker (Software)"
"53","Decentralized Applications (DApps)"
"54","Smart Contracts"
"55","R (Programming Language)"
"56","Oracle Database"
"57","Database Queries"
"58","SAS (Software)"
"59","Cloud Computing"
"60","Time Series Analysis"
"61","Quality Assurance"
"62","Minitab"
"63","Business Intelligence (BI)"
"64","D3.js"
"65","Data Engineering"
"66","Google Data Studio"
"67","Decision Trees"
"68","Knime"
"69","Artificial Intelligence (AI)"
"70","Data-driven Decision Making"
"71","Customer Experience Management"
"72","Trust and Safety"
"73","Managing Technical Personnel"
"74","Data Processing"
"75","FME"
"76","Probability"
"77","Big Data Analytics"
"78","Mathematical Analysis"
"79","Data Ethics"
"80","Computer Ethics"
"81","""Women's Leadership"""
"82","Gender Equality"
"83","Staff Retention"
"84","Diversity & Inclusion"
"85","Information Security"
"86","Estate Planning"
"87","Diversity"
"88","Equity"
"89","Inclusion and Belonging (DEIB)"
"90","People Analytics"
"91","Technology Trends"
"92","Interview Preparation"
"93","Sentinel"
"94","Personal Data Protection"
"95","Recruiting"
"96","R Shiny"
"97","Technical Communication"
"98","Data Sharing"
"99","Google Cloud Platform (GCP)"
"100","Java"
"101","Customer Insight"
"102","Customer Experience"
"103","Security Implementation"
"104","Microsoft Power Apps"
"105","Algorithm Design"
"106","Competitive Analysis"
"107","Excel Modeling"
"108","Elastic Stack (ELK)"
"109","Data Ingestion"
