Topic;;Title;;Published;;Viewership;;Description;;Skills
Artificial-Intelligence-Foundations;;Accessibility and AI: Bridging the Disability Divide;;2024-06-14;;1808;;Leverage the power of AI to design and develop more accessible, inclusive, and innovative products.;;Digital Accessibility
Artificial-Intelligence-Foundations;;Accessibility and AI: Bridging the Disability Divide;;2024-06-14;;1808;;Leverage the power of AI to design and develop more accessible, inclusive, and innovative products.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Machine Learning and AI Foundations: Classification Modeling;;2018-08-20;;53952;;Classification methods are among the most important in modern data science. Learn classification strategies and algorithms for machining learning and AI.;;Machine Learning
Artificial-Intelligence-Foundations;;Machine Learning and AI Foundations: Classification Modeling;;2018-08-20;;53952;;Classification methods are among the most important in modern data science. Learn classification strategies and algorithms for machining learning and AI.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Machine Learning and AI Foundations: Classification Modeling;;2018-08-20;;53952;;Classification methods are among the most important in modern data science. Learn classification strategies and algorithms for machining learning and AI.;;Data Classification
Artificial-Intelligence-Foundations;;Top 10 Skills for AI Engineer/AI Ops Engineers;;2023-08-31;;2114;;Learn the top ten skills of AI and AI Ops engineers to build out your professional toolbox and boost your career.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Agentic AI for Developers: Concepts and Application for Enterprises;;2024-09-16;;0;;Learn about the concepts and applications of agentic AI to build transformative use cases for enterprises.;;AI Software Development
Artificial-Intelligence-Foundations;;Agentic AI for Developers: Concepts and Application for Enterprises;;2024-09-16;;0;;Learn about the concepts and applications of agentic AI to build transformative use cases for enterprises.;;AI Agents
Artificial-Intelligence-Foundations;;Agentic AI for Developers: Concepts and Application for Enterprises;;2024-09-16;;0;;Learn about the concepts and applications of agentic AI to build transformative use cases for enterprises.;;Generative AI
Artificial-Intelligence-Foundations;;Artificial Intelligence and Application Security;;2024-09-26;;2551;;Learn about the important aspects to consider when it comes to AI and application security, and how to apply different use cases to your organization.;;Application Security
Artificial-Intelligence-Foundations;;Artificial Intelligence and Application Security;;2024-09-26;;2551;;Learn about the important aspects to consider when it comes to AI and application security, and how to apply different use cases to your organization.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;AI Techniques for Networking;;2024-06-14;;0;;Discover how to leverage the power of AI and machine learning to transform your networking experience.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;AI Techniques for Networking;;2024-06-14;;0;;Discover how to leverage the power of AI and machine learning to transform your networking experience.;;Network Administration
Artificial-Intelligence-Foundations;;What Is Generative AI?;;2023-03-15;;1462450;;Learn about the basics of generative AI, including its history, popular models, how it works, ethical implications, and much more.;;Generative AI Tools
Artificial-Intelligence-Foundations;;What Is Generative AI?;;2023-03-15;;1462450;;Learn about the basics of generative AI, including its history, popular models, how it works, ethical implications, and much more.;;Generative AI
Artificial-Intelligence-Foundations;;What Is Generative AI?;;2023-03-15;;1462450;;Learn about the basics of generative AI, including its history, popular models, how it works, ethical implications, and much more.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Hands-on Data Science and AI for Healthcare;;2023-08-03;;13150;;Discover practical, real-world strategies and use scenarios for applying data science and machine learning algorithms to gather insights and visualize data in healthcare.;;Healthcare Information Technology (HIT)
Artificial-Intelligence-Foundations;;Hands-on Data Science and AI for Healthcare;;2023-08-03;;13150;;Discover practical, real-world strategies and use scenarios for applying data science and machine learning algorithms to gather insights and visualize data in healthcare.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Hands-on Data Science and AI for Healthcare;;2023-08-03;;13150;;Discover practical, real-world strategies and use scenarios for applying data science and machine learning algorithms to gather insights and visualize data in healthcare.;;Healthcare Analytics
Artificial-Intelligence-Foundations;;Advanced Python Projects: Build AI Applications;;2024-04-24;;11155;;Learn the skills and knowledge needed to create a portfolio of Python-based applications and tools that can be showcased to employers or used to bring your own ideas to life.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;Advanced Python Projects: Build AI Applications;;2024-04-24;;11155;;Learn the skills and knowledge needed to create a portfolio of Python-based applications and tools that can be showcased to employers or used to bring your own ideas to life.;;Application Development
Artificial-Intelligence-Foundations;;Advanced Python Projects: Build AI Applications;;2024-04-24;;11155;;Learn the skills and knowledge needed to create a portfolio of Python-based applications and tools that can be showcased to employers or used to bring your own ideas to life.;;Python (Programming Language)
Artificial-Intelligence-Foundations;;Building Skills with Semantic Kernel;;2023-04-17;;7204;;Level up your skills with Semantic Kernel, the new face of AI-powered development that helps integrate LLM AI capabilities into applications.;;Software Development
Artificial-Intelligence-Foundations;;Building Skills with Semantic Kernel;;2023-04-17;;7204;;Level up your skills with Semantic Kernel, the new face of AI-powered development that helps integrate LLM AI capabilities into applications.;;Large Language Models (LLM)
Artificial-Intelligence-Foundations;;Building Skills with Semantic Kernel;;2023-04-17;;7204;;Level up your skills with Semantic Kernel, the new face of AI-powered development that helps integrate LLM AI capabilities into applications.;;Generative AI
Artificial-Intelligence-Foundations;;Building Skills with Semantic Kernel;;2023-04-17;;7204;;Level up your skills with Semantic Kernel, the new face of AI-powered development that helps integrate LLM AI capabilities into applications.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;LinkedIn AI Academy AI-100: 2 Supervised Learning with Neural Networks;;2023-05-04;;7688;;Get a foundational understanding of neural networks from two LinkedIn AI engineers.;;Supervised Learning
Artificial-Intelligence-Foundations;;LinkedIn AI Academy AI-100: 2 Supervised Learning with Neural Networks;;2023-05-04;;7688;;Get a foundational understanding of neural networks from two LinkedIn AI engineers.;;Artificial Intelligence (AI)
Artificial-Intelligence-Foundations;;LinkedIn AI Academy AI-100: 2 Supervised Learning with Neural Networks;;2023-05-04;;7688;;Get a foundational understanding of neural networks from two LinkedIn AI engineers.;;Artificial Neural Networks
Artificial-Intelligence-Foundations;;Prompt Flow: Hands-On;;2024-09-12;;1358;;Develop LLM-based AI apps with Prompt Flow. Create, analyze, and evaluate workflows linking LLMs, prompts, and Python code. Ensure production-quality apps through effective debugging and performance evaluation.;;AI Software Development
Artificial-Intelligence-Foundations;;Prompt Flow: Hands-On;;2024-09-12;;1358;;Develop LLM-based AI apps with Prompt Flow. Create, analyze, and evaluate workflows linking LLMs, prompts, and Python code. Ensure production-quality apps through effective debugging and performance evaluation.;;Prompt Flow
