Timestamp,Please select your country:,What region do you work in?,What city do you work in?,Are you a chartered engineer?,What province do you work in?,What city do you work in?,Select your highest level of professional attainment?,What state do you live in?,What is your highest level of professional attainment?,What state do you work in?,What city do you work in?,Select your highest level of professional attainment?,What is the maximum contribution offered by your employer as a percentage of your salary for an ESOP?,What is the maximum contribution offered by your employer as a percentage of your salary for a 401k?,Select your highest level of education attainment,Company Name (Optional),Company Head Count,What is your job title?,Which best describes your participation in the Civil Engineering industry?,Which sub discipline do you work in?,Do you work in the Public or Private sector?,How many years of post-graduate experience do you have in Civil Engineering?,What is your current annual salary?,What is your current billing rate?,What is your utilization percentage?,If you received a sign-on bonus how much was it?,How much did you earn in discretionary bonuses?,If you are a compensated with commission how much was your commission?,Is health insurance available?,How many days of paid time off do you receive per  year? (Sick time + Vacation Time),How many days per week do/can you work from home?,How many hours per week do you work on average?,How are you compensated for overtime?,Are you actively looking to change jobs?,Does your employer offer any student loan reimbursement?,Do you have a company vehicle?,"What is your overall job satisfaction considering your pay, work-life balance, benefits, community standing, and all other factors?","What salary would it take for you to change employers for a similar role, assuming the benefits are the same?",If there is any additional relevant information about your job you feel someone who looks at your responses needs to know please provide it below.,Please select your gender,"How many hours of paternity leave does your company offer, if any?","How many hours of maternity leave does your company offer, if any?"
8/27/2023 10:35:56,United States of America,,,,,,,,,California,Irvine ,PE,0,4.5,Bachelors Degree,,220,Project Civil Engineer,Full Time,Land Development,Private,5,106000,180,N/A,0,3000,0,Yes and fully covered,15,0,40,Time and a half (1.5x),Yes,No,No,3,120000,,Male,15,
8/27/2023 10:54:09,United States of America,,,,,,,,,Pennsylvania,Pittsburgh,PE,0,3,Bachelors Degree,,~30,Project Manager,Full Time,Land Development,Private,10,112320,105,90,,1000,0,Yes but I still pay a premium,20,as many as i want but frowned upon,40,ot converts into pto,No,No,No,9,150000,,Male,idk,
8/27/2023 10:58:44,United States of America,,,,,,,,,Oklahoma,Oklahoma City,EIT,0,6,Bachelors Degree,,1200,Project Engineer,Full Time,Environmental,Private,4,72000,134,85,3000,5000,0,Yes but I still pay a premium,20,0,40,Straight time (1.0x),No,Yes,No,7,80000,,Male,4 weeks,
8/27/2023 11:02:48,United States of America,,,,,,,,,Idaho,Boise,EIT,2,2,Bachelors Degree,,1500,Civil engineer 2,Full Time,Water Resources,Private,5,77700,130,70,3000,2000,0,Yes but I still pay a premium,15,2,40,Straight time (1.0x),No,No,No,5,85000,,Male,Idk,
8/27/2023 11:09:37,United States of America,,,,,,,,,Missouri,SwMO,PE,6,0,Bachelors Degree,,300,Project Engineer,Full Time,Land Development,Private,15,110000,N/A,N/A,,5000,0,Yes but I still pay a premium,20,2,40,Not compensated (Exempt),No,No,No,8,130000,,Male,0,
8/27/2023 11:09:46,United States of America,,,,,,,,,Florida,Jax,PE,0,3,Bachelors Degree,,13,Structural Engineer/Project Manager,Full Time,Structural,Private,4.5,90000,N/A,N/A,,5000,0,Yes but I still pay a premium,4 weeks,0,42,Not compensated (Exempt),No,No,No,7,110000,"I'd only have 2.5 weeks of vacation/sick days if I hadn't negotiated it. That's the company standard, but I have some leverage with my PE now",Male,0,
8/27/2023 11:14:22,United States of America,,,,,,,,,Florida,Orlando,PE,0,15,Bachelors Degree,,350,Senior Engineer,Full Time,Transportation,Private,7,104000,158.64,80,2000,12000,0,Yes but I still pay a premium,26,5,48,Not compensated (Exempt),Yes,No,No,6,108000,,Male,160,
8/27/2023 11:15:27,United States of America,,,,,,,,,Ohio,Columbus ,PE,0,2,Bachelors Degree,,650-700,Project Manager ,Full Time,Transportation,Private,21,115000,165,70,,10000,0,Yes but I still pay a premium,21,As needed,42,Not compensated (Exempt),No,No,No,8,135000,,Female,,40 paid FMLA
8/27/2023 11:24:42,United States of America,,,,,,,,,Missouri,Kansas City,PE,3600,0,Masters Degree,,5000+ ,Engineer III,Full Time,Bridges,Private,4,92500,118,90+,1000,0,0,Yes but I still pay a premium,22,0,42,Straight time (1.0x),Yes,No,No,4,"110,000",,Male,0,
8/27/2023 11:29:39,Germany,,,,,,,,,,,,,,Masters Degree,,1000,Quality Engineer,Full Time,Power & Water; split evenly,Private,4,77000,N/A,N/A,0,0,0,Yes and fully covered,30 Vacation; Unlimited Sick Time (Universal Healthcare System),3,38,Time is logged and available for additional time off,No,No,No,6,80000,,Male,80,
8/27/2023 11:32:32,Canada,,,,Ontario,Ottawa,PE,,,,,,,,Masters Degree,,1000,Bridge Engineer,Full Time,Bridges,Private,10,110000,150,90,0,0,0,Yes and fully covered,27,4,40,Not compensated (Exempt),Yes,No,No,5,125000,,Male,0,
8/27/2023 11:33:24,United States of America,,,,,,,,,Washington,Seattle,EIT,4,3,Masters Degree,,350,Bridge Engineer,Full Time,Bridges,Private,4,104000,N/A,N/A,0,1000,0,Yes but I still pay a premium,23,3,50,Straight time (1.0x),No,Yes,No,6,115000,,Male,80,
8/27/2023 11:38:38,United States of America,,,,,,,,,Washington,Seattle ,PE,0,0,Masters Degree,,55,Traffic Engineer ,Full Time,Transportation,Public,12,130000,N/A,N/A,,0,0,Yes and fully covered,12,4,5,Not compensated (Exempt),No,No,No,9,150000,,Male,480,
8/27/2023 11:39:21,United States of America,,,,,,,,,Ohio,Macedonia,PE,15,8,Bachelors Degree,,20000,Applications Engineer,Full Time,Structural,Private,7,103000,N/A,N/A,,20000,0,Yes but I still pay a premium,20,5,40,Not compensated (Exempt),No,No,No,9,150000,"This role is structural technical support for sales team within a Fortune 500 company. Role consists of design/ analysis, detailing, and estimating. ",Male,80,
8/27/2023 11:40:40,United States of America,,,,,,,,,California,San Francisco ,PE,0,3,Doctorate Degree,,30000,Senior Project Engineer,Full Time,Geotechnical,Private,7,147000,N/A,N/A,,5000,0,Yes but I still pay a premium,16,5,40,Straight time (1.0x),No,No,No,8,200000,,Male,80,
8/27/2023 11:46:13,United States of America,,,,,,,,,California,San Diego ,EIT,8,2,Masters Degree,,1000,Associate Engineer ,Full Time,Transportation,Private,3,82,N/A,N/A,,0,0,Yes but I still pay a premium,15,5,45,Not compensated (Exempt),Yes,No,No,6,91000,For OT they don’t want you charging hours so they’ll tell you to go home early when applicable. ,Male,Idk,
8/27/2023 11:48:02,United States of America,,,,,,,,,Michigan,Detroit,EIT,5,5,Masters Degree,,5000+,ITS/Traffic Engineer,Full Time,Transportation,Private,2,77000,N/A,N/A,,0,0,Yes but I still pay a premium,25,0.5,40,Straight time (1.0x),No,No,No,9,95000,Have not been at this company long enough to earn discretionary bonuses,Male,Idk,
8/27/2023 11:51:09,United States of America,,,,,,,,,California,Los Angeles,EIT,0,0,Bachelors Degree,Caltrans,500,Assistant Civil Engineer,Full Time,Transportation,Public,7,100000,N/A,100,,0,0,Yes and fully covered,16,5,40,Straight time (1.0x),No,No,No,7,120000,2% per year pension,Male,0,
8/27/2023 11:54:35,Portugal,,,,,,,,,,,,,,Masters Degree,,10,Civil enginner,Full Time,Water Resources,Private,1,1000,N/A,N/A,,0,0,Yes and fully covered,0,0,9,Not compensated (Exempt),Yes,No,No,4,1300,,Male,2 months,
8/27/2023 11:56:47,Canada,,,,Ontario,Georgetown,EIT,,,,,,,,Bachelors Degree,,5,Junior Engineer,Full Time,Geotechnical,Private,2,150000,145,N/A,0,6000,0,Yes and fully covered,14,0,80,Straight time (1.0x),No,No,No,7,250000,,Male,N/a,
8/27/2023 11:58:18,United States of America,,,,,,,,,Washington,Seattle,None,0,3,High School Diploma,AECOM,50000,Civil engineering intern,Part Time,Transportation,Private,0,55000,N/A,N/A,,0,0,Yes but I still pay a premium,0,3,16,Time and a half (1.5x),No,No,No,8,65000,,Female,,240
8/27/2023 12:00:47,United States of America,,,,,,,,,Oregon,Portland,EIT,0,8,Bachelors Degree,Kimley-Horn,5000-7000,Engineering Analyst ,Full Time,Transportation,Public,3,90000,N/A,96,4000,23000,0,Yes and fully covered,16,0,45,Not compensated (Exempt),No,Yes,No,7,"TC > 150,000","KH p3 in transit projects, previous salary and bonus based on land development practice",Male,I dont know,
8/27/2023 12:01:46,United States of America,,,,,,,,,Pennsylvania,Pittsburgh,PE,0,4,Bachelors Degree,,15,Project Engineer,Full Time,Geotechnical,Private,5,76000,N/A,N/A,1000,7000,0,Yes but I still pay a premium,18,0,42,Straight time (1.0x),Yes,Yes,No,7,85000,,Male,0,
8/27/2023 12:09:01,United States of America,,,,,,,,,Maine,Westbrook,EIT,0,4,Bachelors Degree,,50+,Civil Engineer,Full Time,Land Development,Private,0,68000,N/A,N/A,0,2000,0,Yes and fully covered,10,Unlimited,50,Not compensated (Exempt),No,Yes,Yes,6,75000,,Prefer not to say,120,
8/27/2023 12:09:44,United States of America,,,,,,,,,California,San Francisco,PE,0,6,Masters Degree,,200,Project Engineer,Full Time,Structural,Private,6,120000,180,N/A,2000,2500,0,Yes but I still pay a premium,18,3,42,Straight time (1.0x),No,No,No,7,135000,,Female,,832
8/27/2023 12:10:32,United States of America,,,,,,,,,Colorado,Denver,PE,0,10,Masters Degree,,30000,Bridge Engineer,Full Time,Bridges,Private,10,135000,N/A,N/A,,5500,0,Yes but I still pay a premium,25,1,45,Straight time (1.0x),No,Yes,No,7,150000,,Prefer not to say,4 weeks ,
8/27/2023 12:12:57,United States of America,,,,,,,,,Louisiana,new Orleans ,PE,1.5,1.5,Bachelors Degree,,500,group Manager ,Full Time,Geotechnical,Public,8,90000,140,75,,3000,0,Yes but I still pay a premium,20,5,42,Not compensated (Exempt),Yes,No,No,5,90000,,Female,,200
8/27/2023 12:14:16,United States of America,,,,,,,,,Missouri,St. Louis,EIT,6,6,Bachelors Degree,,1600,Structural Engineer 2,Full Time,Structural,Private,3,88000,Not sure,90,2000,4000,0,Yes and fully covered,20,5,35,Not compensated (Exempt),No,Yes,No,10,98000,,Female,,Not sure
8/27/2023 12:16:02,United States of America,,,,,,,,,Washington,Tacoma ,None,0,3,Bachelors Degree,,1000+,Civil design engineer,Full Time,Water Resources,Private,0,74400,N/A,84,2000,0,0,Yes but I still pay a premium,14-21,2,45,Flex Time ,No,No,No,7,"85,000",,Female,,240
