State;Education;Certification;Partitipation;Subdiscipline;Sector;Salary
California;Bachelors Degree;PE;Full Time;Land Development;Private;106000
Pennsylvania;Bachelors Degree;PE;Full Time;Land Development;Private;112320
Oklahoma;Bachelors Degree;EIT;Full Time;Environmental;Private;72000
Idaho;Bachelors Degree;EIT;Full Time;Water Resources;Private;77700
Missouri;Bachelors Degree;PE;Full Time;Land Development;Private;110000
Florida;Bachelors Degree;PE;Full Time;Structural;Private;90000
Florida;Bachelors Degree;PE;Full Time;Transportation;Private;104000
Ohio;Bachelors Degree;PE;Full Time;Transportation;Private;115000
Missouri;Masters Degree;PE;Full Time;Bridges;Private;92500
Washington;Masters Degree;EIT;Full Time;Bridges;Private;104000
Washington;Masters Degree;PE;Full Time;Transportation;Public;130000
Ohio;Bachelors Degree;PE;Full Time;Structural;Private;103000
California;Doctorate Degree;PE;Full Time;Geotechnical;Private;147000
California;Masters Degree;EIT;Full Time;Transportation;Private;82
Michigan;Masters Degree;EIT;Full Time;Transportation;Private;77000
California;Bachelors Degree;EIT;Full Time;Transportation;Public;100000
Washington;High School Diploma;None;Part Time;Transportation;Private;55000
Oregon;Bachelors Degree;EIT;Full Time;Transportation;Public;90000
Pennsylvania;Bachelors Degree;PE;Full Time;Geotechnical;Private;76000
Maine;Bachelors Degree;EIT;Full Time;Land Development;Private;68000
California;Masters Degree;PE;Full Time;Structural;Private;120000
Colorado;Masters Degree;PE;Full Time;Bridges;Private;135000
Louisiana;Bachelors Degree;PE;Full Time;Geotechnical;Public;90000
Missouri;Bachelors Degree;EIT;Full Time;Structural;Private;88000
Washington;Bachelors Degree;None;Full Time;Water Resources;Private;74400
Massachusetts;Masters Degree;EIT;Full Time;Structural;Private;74360
Washington;Bachelors Degree;PE;Full Time;Land Development;Private;116000
Virginia;Bachelors Degree;PE;Full Time;Land Development;Private;148000
Illinois;Bachelors Degree;PE;Full Time;Environmental;Private;100000
Texas;Bachelors Degree;PE;Full Time;Land Development;Public;100000
Arizona;Bachelors Degree;EIT;Full Time;Land Development;Private;85000
New Jersey;Masters Degree;None;Full Time;Construction/Field;Private;130000
California;Bachelors Degree;EIT;Full Time;Government/Municipal;Public;90000
Arizona;Bachelors Degree;PE;Full Time;Transportation;Private;100004
California;Bachelors Degree;None;Full Time;Water Resources;Private;80000
Colorado;Bachelors Degree;EIT;Full Time;Forensics;Private;75000
Colorado;Bachelors Degree;PE;Full Time;Geotechnical;Private;125000
Florida;Bachelors Degree;EIT;Full Time;Transportation;Private;85000
Colorado;Bachelors Degree;PE;Full Time;Land Development;Private;97500
Nebraska;Bachelors Degree;PE;Full Time;Land Development;Private;87000
Kansas;Bachelors Degree;PE;Full Time;Land Development;Private;123000
Illinois;Bachelors Degree;EIT;Full Time;Transportation;Private;81000
California;Masters Degree;EIT;Full Time;Structural;Private;86000
California;Bachelors Degree;PE;Full Time;Water Resources;Public;125400
Minnesota;Bachelors Degree;EIT;Full Time;Land Development;Private;70000
Virginia;Bachelors Degree;PE;Full Time;Transportation;Private;100000
Michigan;Bachelors Degree;EIT;Full Time;Land Development;Private;62400
Florida;Bachelors Degree;PE;Full Time;Land Development;Private;120000
North Carolina;Bachelors Degree;EIT;Full Time;Water Resources;Public;83720
Tennessee;Bachelors Degree;EIT;Full Time;Land Development;Private;71000
California;Bachelors Degree;EIT;Full Time;Land Development;Private;85000
Florida;One year away from Bachelors;None;Full Time;Bridges;Private;56000
Hawaii;Bachelors Degree;PE;Full Time;Land Development;Private;80000
South Carolina;Bachelors Degree;PE;Full Time;Geotechnical;Private;105000
Ohio;Bachelors Degree;EIT;Full Time;Structural;Private;85000
New York;Bachelors Degree;EIT;Full Time;Structural;Public;75000
